residue,iterations
8.75663e-10,103
9.81052e-10,98
9.78341e-10,98
9.69569e-10,98
9.59633e-10,98
9.30447e-10,98
9.20538e-10,98
9.28693e-10,98
9.14603e-10,98
9.03585e-10,98
9.15725e-10,98
9.08681e-10,98
6.27587e-10,99
6.36195e-10,99
6.49716e-10,99
6.5019e-10,99
6.5356e-10,99
6.48643e-10,99
4.44726e-10,100
4.40508e-10,100
4.41306e-10,100
4.27905e-10,100
4.21072e-10,100
2.90752e-10,101
2.84219e-10,101
2.79989e-10,101
2.78461e-10,101
1.9547e-10,102
1.99095e-10,102
1.40453e-10,103
1.41213e-10,103
1.45482e-10,103
2.10483e-10,102
2.13015e-10,102
2.2212e-10,102
2.23207e-10,102
3.0632e-10,101
3.08931e-10,101
3.13884e-10,101
3.18875e-10,101
3.20125e-10,101
4.54071e-10,100
4.54412e-10,100
4.51378e-10,100
4.51574e-10,100
4.47958e-10,100
4.48693e-10,100
4.55607e-10,100
4.59977e-10,100
4.51772e-10,100
4.47966e-10,100
4.48318e-10,100
4.53137e-10,100
4.49413e-10,100
4.42223e-10,100
4.38786e-10,100
4.37858e-10,100
4.34805e-10,100
4.28691e-10,100
4.21384e-10,100
4.21025e-10,100
4.23475e-10,100
4.23382e-10,100
2.9465e-10,101
2.91818e-10,101
2.97162e-10,101
3.02774e-10,101
3.02743e-10,101
2.14567e-10,102
2.22145e-10,102
2.23312e-10,102
1.54024e-10,103
1.5839e-10,103
1.5982e-10,103
1.58713e-10,103
1.5881e-10,103
1.56325e-10,103
1.54384e-10,103
2.1157e-10,102
2.1028e-10,102
2.10777e-10,102
2.08636e-10,102
2.89743e-10,101
2.8752e-10,101
2.91785e-10,101
3.01448e-10,101
3.04006e-10,101
3.12506e-10,101
3.15146e-10,101
3.19765e-10,101
3.21546e-10,101
3.17896e-10,101
3.14863e-10,101
3.12507e-10,101
3.13891e-10,101
3.11074e-10,101
3.04098e-10,101
3.04381e-10,101
3.06882e-10,101
3.08494e-10,101
3.12999e-10,101
3.18018e-10,101
3.13942e-10,101
3.13917e-10,101
3.14919e-10,101
3.15464e-10,101
3.14084e-10,101
3.15307e-10,101
2.24524e-10,102
2.27968e-10,102
2.27533e-10,102
2.27564e-10,102
2.26788e-10,102
2.24615e-10,102
1.53824e-10,103
1.49214e-10,103
1.46216e-10,103
1.42975e-10,103
1.40077e-10,103
1.40246e-10,103
1.40177e-10,103
1.39285e-10,103
1.4422e-10,103
2.12746e-10,102
2.12243e-10,102
2.09001e-10,102
2.09153e-10,102
2.13694e-10,102
2.11335e-10,102
2.11636e-10,102
2.1538e-10,102
2.20937e-10,102
2.19695e-10,102
2.2104e-10,102
3.14387e-10,101
3.15253e-10,101
3.08781e-10,101
2.99732e-10,101
2.97565e-10,101
3.0166e-10,101
3.02975e-10,101
3.06167e-10,101
3.11354e-10,101
3.16806e-10,101
3.12389e-10,101
3.08392e-10,101
2.2012e-10,102
2.16249e-10,102
2.11893e-10,102
2.09648e-10,102
2.0846e-10,102
2.11695e-10,102
2.12833e-10,102
2.15138e-10,102
2.14947e-10,102
2.23844e-10,102
2.24484e-10,102
1.53879e-10,103
1.54848e-10,103
1.54638e-10,103
1.50645e-10,103
1.48681e-10,103
1.486e-10,103
1.45372e-10,103
1.46794e-10,103
1.4719e-10,103
1.52152e-10,103
1.51091e-10,103
1.5249e-10,103
1.55191e-10,103
1.55261e-10,103
1.52903e-10,103
2.1788e-10,102
2.14044e-10,102
2.11838e-10,102
2.15911e-10,102
2.12523e-10,102
2.13302e-10,102
2.07711e-10,102
2.05123e-10,102
2.03466e-10,102
1.99616e-10,102
1.95676e-10,102
1.96319e-10,102
1.97962e-10,102
2.03458e-10,102
2.09832e-10,102
2.13061e-10,102
2.1748e-10,102
2.21838e-10,102
2.23888e-10,102
2.20506e-10,102
2.17998e-10,102
2.1747e-10,102
2.14871e-10,102
2.12822e-10,102
2.07497e-10,102
2.10295e-10,102
2.13426e-10,102
1.55631e-10,103
1.58315e-10,103
1.5615e-10,103
1.5724e-10,103
1.61044e-10,103
1.60476e-10,103
1.58315e-10,103
1.55711e-10,103
1.52848e-10,103
1.5026e-10,103
1.49972e-10,103
1.47897e-10,103
1.46233e-10,103
1.48617e-10,103
1.50984e-10,103
1.49976e-10,103
1.51669e-10,103
1.55399e-10,103
1.56507e-10,103
1.59163e-10,103
1.60638e-10,103
1.59096e-10,103
1.5769e-10,103
2.23015e-10,102
2.25745e-10,102
2.26312e-10,102
2.24838e-10,102
2.26316e-10,102
2.2767e-10,102
2.27849e-10,102
2.2509e-10,102
2.17039e-10,102
2.15938e-10,102
2.17575e-10,102
2.14568e-10,102
2.11953e-10,102
2.10289e-10,102
2.09213e-10,102
2.11743e-10,102
2.14912e-10,102
1.53317e-10,103
1.50509e-10,103
1.50434e-10,103
1.53819e-10,103
1.51696e-10,103
1.48641e-10,103
1.48432e-10,103
1.4801e-10,103
1.44123e-10,103
1.40429e-10,103
1.41622e-10,103
1.44128e-10,103
1.43724e-10,103
1.44406e-10,103
1.45542e-10,103
1.48183e-10,103
1.48609e-10,103
1.51612e-10,103
1.52479e-10,103
1.49874e-10,103
1.50348e-10,103
1.52903e-10,103
1.50919e-10,103
1.455e-10,103
1.44032e-10,103
2.04862e-10,102
1.4172e-10,103
2.02667e-10,102
2.0322e-10,102
2.08658e-10,102
2.0668e-10,102
2.09636e-10,102
2.10511e-10,102
1.46357e-10,103
1.48135e-10,103
1.48854e-10,103
1.48655e-10,103
2.063e-10,102
2.11274e-10,102
2.10774e-10,102
1.46846e-10,103
1.47667e-10,103
1.44465e-10,103
1.42461e-10,103
1.39278e-10,103
1.41034e-10,103
1.41875e-10,103
1.40421e-10,103
1.42377e-10,103
1.43587e-10,103
1.45497e-10,103
1.44479e-10,103
1.41568e-10,103
1.42714e-10,103
1.41349e-10,103
1.42893e-10,103
1.44214e-10,103
1.42843e-10,103
1.4165e-10,103
1.42693e-10,103
1.43977e-10,103
1.44961e-10,103
1.49096e-10,103
1.49164e-10,103
1.48667e-10,103
1.5143e-10,103
1.51285e-10,103
1.48522e-10,103
1.4506e-10,103
1.46512e-10,103
1.48955e-10,103
1.51668e-10,103
1.52901e-10,103
1.51115e-10,103
1.50373e-10,103
1.54556e-10,103
1.57876e-10,103
1.56272e-10,103
1.54028e-10,103
1.52619e-10,103
1.51995e-10,103
1.47985e-10,103
1.45142e-10,103
1.44433e-10,103
1.40481e-10,103
1.42007e-10,103
1.44669e-10,103
1.47585e-10,103
1.48145e-10,103
1.49058e-10,103
1.52975e-10,103
1.54181e-10,103
1.54985e-10,103
1.53672e-10,103
1.55692e-10,103
1.55109e-10,103
1.48693e-10,103
1.44674e-10,103
1.43926e-10,103
1.46117e-10,103
1.45626e-10,103
1.44563e-10,103
1.41403e-10,103
1.40823e-10,103
1.39798e-10,103
1.41127e-10,103
1.39083e-10,103
1.39811e-10,103
1.37906e-10,103
1.38589e-10,103
1.38039e-10,103
1.37773e-10,103
1.40262e-10,103
1.44958e-10,103
1.45664e-10,103
1.43056e-10,103
1.4572e-10,103
1.46757e-10,103
1.46067e-10,103
1.47175e-10,103
1.43695e-10,103
1.42253e-10,103
1.40348e-10,103
1.37033e-10,103
1.36234e-10,103
1.39294e-10,103
1.3856e-10,103
1.38881e-10,103
1.40988e-10,103
1.38576e-10,103
1.43639e-10,103
1.41091e-10,103
1.40135e-10,103
1.4088e-10,103
1.38747e-10,103
1.35653e-10,103
1.34012e-10,103
1.36913e-10,103
1.37064e-10,103
1.38921e-10,103
1.4027e-10,103
1.41183e-10,103
1.41207e-10,103
1.44271e-10,103
1.48954e-10,103
1.53157e-10,103
1.46897e-10,103
1.46211e-10,103
1.49531e-10,103
1.46128e-10,103
1.46559e-10,103
1.41901e-10,103
1.39546e-10,103
1.45062e-10,103
1.48368e-10,103
1.47579e-10,103
1.48067e-10,103
1.51284e-10,103
1.54926e-10,103
1.5286e-10,103
1.51975e-10,103
1.50575e-10,103
