time, Ex_field_energy, Ex_max_norm
0.0000000000000000e+00 9.8225659387848321e+00 1.0570953469110125e-01
5.0000000000000003e-02 9.7897410587103710e+00 1.0566192792037166e-01
1.0000000000000001e-01 9.6963508287023732e+00 1.0540879305342425e-01
1.5000000000000002e-01 9.5439397546886457e+00 1.0441877882191870e-01
2.0000000000000001e-01 9.3344545896477573e+00 1.0283863356126474e-01
2.5000000000000000e-01 9.0708487109818119e+00 1.0133063512748408e-01
2.9999999999999999e-01 8.7565459438421538e+00 9.9619413295318857e-02
3.4999999999999998e-01 8.3957903354225643e+00 9.7312093488297183e-02
3.9999999999999997e-01 7.9934337865089047e+00 9.4776405069525657e-02
4.4999999999999996e-01 7.5547357613509494e+00 9.1836685200820264e-02
4.9999999999999994e-01 7.0855263561831077e+00 8.8631952708229822e-02
5.4999999999999993e-01 6.5919781901694599e+00 8.5930896902865483e-02
5.9999999999999998e-01 6.0804791008960954e+00 8.2816213783519485e-02
6.5000000000000002e-01 5.5575221439191766e+00 7.9170968607080131e-02
7.0000000000000007e-01 5.0294368366876450e+00 7.5208985686781499e-02
7.5000000000000011e-01 4.5028103731700577e+00 7.1213556013090859e-02
8.0000000000000016e-01 3.9839736365936815e+00 6.6876104182970311e-02
8.5000000000000020e-01 3.4789879798125547e+00 6.2580083510724485e-02
9.0000000000000024e-01 2.9935341428437838e+00 5.8273596539837776e-02
9.5000000000000029e-01 2.5328388632056593e+00 5.3802453182547151e-02
1.0000000000000002e+00 2.1016661119638398e+00 4.9493618422880963e-02
1.0500000000000003e+00 1.7041942099470619e+00 4.4878953978125920e-02
1.1000000000000003e+00 1.3439733670253924e+00 4.0334119512509911e-02
1.1500000000000004e+00 1.0238712340712273e+00 3.6155399882450846e-02
1.2000000000000004e+00 7.4622791817978662e-01 3.1848835831695288e-02
1.2500000000000004e+00 5.1245299325708893e-01 2.7444861951694426e-02
1.3000000000000005e+00 3.2329599463705050e-01 2.2775917018895239e-02
1.3500000000000005e+00 1.7880714159495997e-01 1.7947078956180876e-02
1.4000000000000006e+00 7.8331144363199531e-02 1.3179446990824755e-02
1.4500000000000006e+00 2.0533945739168027e-02 8.7047264206589012e-03
1.5000000000000007e+00 3.4966001851904102e-03 5.3481000815866920e-03
1.5500000000000007e+00 2.4675702716804773e-02 9.4870158312103901e-03
1.6000000000000008e+00 8.1029371398422617e-02 1.3457250197854050e-02
