time, Ex_field_energy, Ex_max_norm
0.0000000000000000e+00 9.8226010846162506e+00 1.0570944469035073e-01
5.0000000000000003e-02 9.7898127369442669e+00 1.0566188222147152e-01
1.0000000000000001e-01 9.6964574550267937e+00 1.0540880791582628e-01
1.5000000000000002e-01 9.5440799587825733e+00 1.0441884260771475e-01
2.0000000000000001e-01 9.3346249848272098e+00 1.0283867142090898e-01
2.5000000000000000e-01 9.0710445809521918e+00 1.0133078667080203e-01
2.9999999999999999e-01 8.7567657170458393e+00 9.9619602654139258e-02
3.4999999999999998e-01 8.3960315976559858e+00 9.7313475975365146e-02
3.9999999999999997e-01 7.9936911222440354e+00 9.4778104571002900e-02
4.4999999999999996e-01 7.5550050559351138e+00 9.1838559782862580e-02
4.9999999999999994e-01 7.0858048280825914e+00 8.8632200386736068e-02
5.4999999999999993e-01 6.5922624661625795e+00 8.5933670641395871e-02
5.9999999999999998e-01 6.0807641379251631e+00 8.2819235329954916e-02
6.5000000000000002e-01 5.5578041062232462e+00 7.9174225786570088e-02
7.0000000000000007e-01 5.0297119077199683e+00 7.5209040181123829e-02
7.5000000000000011e-01 4.5030741507629557e+00 7.1213546311216944e-02
8.0000000000000016e-01 3.9842227744315788e+00 6.6880107445879938e-02
8.5000000000000020e-01 3.4792195702930084e+00 6.2584224781630185e-02
9.0000000000000024e-01 2.9937480366110920e+00 5.8275552686311211e-02
9.5000000000000029e-01 2.5330327980708773e+00 5.3804426145777004e-02
1.0000000000000002e+00 2.1018378446638422e+00 4.9494811413472055e-02
1.0500000000000003e+00 1.7043437336696532e+00 4.4880432264157548e-02
1.1000000000000003e+00 1.3441002037884762e+00 4.0336781390685590e-02
1.1500000000000004e+00 1.0239757350205783e+00 3.6158577604074996e-02
1.2000000000000004e+00 7.4631084893988908e-01 3.1852690329630645e-02
1.2500000000000004e+00 5.1251567798335840e-01 2.7449594458513953e-02
1.3000000000000005e+00 3.2334050495373379e-01 2.2780935395351035e-02
1.3500000000000005e+00 1.7883608757866998e-01 1.7952952804561009e-02
1.4000000000000006e+00 7.8346997633439386e-02 1.3187539554762095e-02
1.4500000000000006e+00 2.0539601176477341e-02 8.6909028363694966e-03
1.5000000000000007e+00 3.4952190687125200e-03 5.3443669204286939e-03
1.5500000000000007e+00 2.4670773923598364e-02 9.4833526652666304e-03
1.6000000000000008e+00 8.1024215039894931e-02 1.3452368083942179e-02
1.6500000000000008e+00 1.6906280734511139e-01 1.7397032539200403e-02
1.7000000000000008e+00 2.8490352533956514e-01 2.1610461560644712e-02
1.7500000000000009e+00 4.2432526057591169e-01 2.5187903840342071e-02
1.8000000000000009e+00 5.8292131638928923e-01 2.8361773811300284e-02
1.8500000000000010e+00 7.5617493339099129e-01 3.1699744862138765e-02
1.9000000000000010e+00 9.3945133251180890e-01 3.5064637218300304e-02
1.9500000000000011e+00 1.1280983167173673e+00 3.7944845736581662e-02
2.0000000000000009e+00 1.3176998420142252e+00 4.0304515688906618e-02
2.0500000000000007e+00 1.5039122501225231e+00 4.2328504596833356e-02
2.1000000000000005e+00 1.6826843651431669e+00 4.4595523426996096e-02
2.1500000000000004e+00 1.8502325423259915e+00 4.6754994524681591e-02
2.2000000000000002e+00 2.0032252952375402e+00 4.8646819761992303e-02
2.2500000000000000e+00 2.1386584069976942e+00 5.0234338679632930e-02
2.2999999999999998e+00 2.2540786924342791e+00 5.1610033169541360e-02
2.3499999999999996e+00 2.3475023966922670e+00 5.2481879338607297e-02
2.3999999999999995e+00 2.4174346228596888e+00 5.3124020869961500e-02
2.4499999999999993e+00 2.4628179536310735e+00 5.3462725799639094e-02
2.4999999999999991e+00 2.4831499558112902e+00 5.3882936830118230e-02
2.5499999999999989e+00 2.4784794953301157e+00 5.3985453077296387e-02
2.5999999999999988e+00 2.4493872786384809e+00 5.4052576391289381e-02
2.6499999999999986e+00 2.3968930326913971e+00 5.3565602029382903e-02
2.6999999999999984e+00 2.3223292622690042e+00 5.2534571159174433e-02
2.7499999999999982e+00 2.2275268752534578e+00 5.1388141554598164e-02
2.7999999999999980e+00 2.1146421565182854e+00 5.0250759429268294e-02
2.8499999999999979e+00 1.9861568521597546e+00 4.8968159208741577e-02
2.8999999999999977e+00 1.8446967137240302e+00 4.7369632994816162e-02
2.9499999999999975e+00 1.6931074334060636e+00 4.5450210406518567e-02
2.9999999999999973e+00 1.5343438703461010e+00 4.3505388141205095e-02
3.0499999999999972e+00 1.3714364752217709e+00 4.1454147298863368e-02
3.0999999999999970e+00 1.2073394542129026e+00 3.9278241732303591e-02
3.1499999999999968e+00 1.0449641916050270e+00 3.6908341731212331e-02
3.1999999999999966e+00 8.8711570381819693e-01 3.4109565042236570e-02
3.2499999999999964e+00 7.3646453310115845e-01 3.1263985107950296e-02
3.2999999999999963e+00 5.9539617534086198e-01 2.8257542551536306e-02
3.3499999999999961e+00 4.6602099426461790e-01 2.5526503436433312e-02
3.3999999999999959e+00 3.5025890087431510e-01 2.2565713365251028e-02
3.4499999999999957e+00 2.4962967563035726e-01 1.9357512576058132e-02
3.4999999999999956e+00 1.6536004276463803e-01 1.6217958363452068e-02
3.5499999999999954e+00 9.8281396643508642e-02 1.3172184977817237e-02
3.5999999999999952e+00 4.8883710981263796e-02 1.0302688382642838e-02
3.6499999999999950e+00 1.7286204197172830e-02 7.4730024363576378e-03
3.6999999999999948e+00 3.2772687255653130e-03 4.9664560899963682e-03
3.7499999999999947e+00 6.3080516466305038e-03 6.5743727442563972e-03
3.7999999999999945e+00 2.5509065552154306e-02 9.3018070648472340e-03
3.8499999999999943e+00 5.9745590805356678e-02 1.1926822069649051e-02
3.8999999999999941e+00 1.0760693617570113e-01 1.4585762036528024e-02
3.9499999999999940e+00 1.6747445831312618e-01 1.6853059205863264e-02
3.9999999999999938e+00 2.3755966420822905e-01 1.9258693219823049e-02
4.0499999999999936e+00 3.1589607543356391e-01 2.2014153364047287e-02
4.0999999999999934e+00 4.0042711301197709e-01 2.4511347600583645e-02
4.1499999999999932e+00 4.8908413474129092e-01 2.6593050008824486e-02
4.1999999999999931e+00 5.7974688261616025e-01 2.8249055344515561e-02
4.2499999999999929e+00 6.7030605377227803e-01 2.9822197821415854e-02
4.2999999999999927e+00 7.5877185645625278e-01 3.1278075739110851e-02
4.3499999999999925e+00 8.4330398886582802e-01 3.2877008669331999e-02
4.3999999999999924e+00 9.2210492909858177e-01 3.4190194216949521e-02
4.4499999999999922e+00 9.9354801884669530e-01 3.5148415634904354e-02
4.4999999999999920e+00 1.0562952814976498e+00 3.6347564841503602e-02
4.5499999999999918e+00 1.1091971600885138e+00 3.7365115672250260e-02
4.5999999999999917e+00 1.1511930056828470e+00 3.8007041257168479e-02
4.6499999999999915e+00 1.1816613760274204e+00 3.8189075713721016e-02
4.6999999999999913e+00 1.2002198925137739e+00 3.8188653530870573e-02
4.7499999999999911e+00 1.2066128816084909e+00 3.8333354390957489e-02
4.7999999999999909e+00 1.2009116823242147e+00 3.8404375295571246e-02
4.8499999999999908e+00 1.1834254221504925e+00 3.8492774103192774e-02
4.8999999999999906e+00 1.1546875179221461e+00 3.8212306796312545e-02
4.9499999999999904e+00 1.1153964684990705e+00 3.7405003350966075e-02
4.9999999999999902e+00 1.0664924259854023e+00 3.6407969787452400e-02
5.0499999999999901e+00 1.0091236817822735e+00 3.5489598855454413e-02
5.0999999999999899e+00 9.4453558372860769e-01 3.4883056281912947e-02
5.1499999999999897e+00 8.7394160303802271e-01 3.4085543550973596e-02
5.1999999999999895e+00 7.9878688071812087e-01 3.2731603294147975e-02
5.2499999999999893e+00 7.2057732453085110e-01 3.1250391766076142e-02
5.2999999999999892e+00 6.4078023603861045e-01 2.9515162307172001e-02
5.3499999999999890e+00 5.6083418933003970e-01 2.7664711728006410e-02
5.3999999999999888e+00 4.8218649198455565e-01 2.6080304472952339e-02
5.4499999999999886e+00 4.0619830527066242e-01 2.4101331558471814e-02
5.4999999999999885e+00 3.3414634275360766e-01 2.2184026940034542e-02
5.5499999999999883e+00 2.6715453707892056e-01 2.0276884588777213e-02
5.5999999999999881e+00 2.0626343248168014e-01 1.8128148267694422e-02
5.6499999999999879e+00 1.5233199761193278e-01 1.5787563397628976e-02
5.6999999999999877e+00 1.0608655745468304e-01 1.3532770243856714e-02
5.7499999999999876e+00 6.8063950364226619e-02 1.1387345847571572e-02
5.7999999999999874e+00 3.8604157536800944e-02 9.3991677472234358e-03
5.8499999999999872e+00 1.7881877318625231e-02 7.5797737936155697e-03
5.8999999999999870e+00 5.8958636307462828e-03 5.8390072738406787e-03
5.9499999999999869e+00 2.4901199424406878e-03 4.3551337636592736e-03
5.9999999999999867e+00 7.3322418200130451e-03 6.3202543307999985e-03
6.0499999999999865e+00 1.9934841871563042e-02 8.2193625415634738e-03
6.0999999999999863e+00 3.9691234038066722e-02 9.8675832538699382e-03
6.1499999999999861e+00 6.5856848459188058e-02 1.1676964807466564e-02
6.1999999999999860e+00 9.7592143460193251e-02 1.3624568906083632e-02
6.2499999999999858e+00 1.3397244505707187e-01 1.5547894574478402e-02
6.2999999999999856e+00 1.7402792707388942e-01 1.7351404980088542e-02
6.3499999999999854e+00 2.1670148310584222e-01 1.8707494962048567e-02
6.3999999999999853e+00 2.6096845947441610e-01 1.9871312460473193e-02
6.4499999999999851e+00 3.0578876997792553e-01 2.1196596966472962e-02
6.4999999999999849e+00 3.5013159352727857e-01 2.2628879840936970e-02
6.5499999999999847e+00 3.9304284519584481e-01 2.3763807343302620e-02
6.5999999999999845e+00 4.3364136090643285e-01 2.5191867927429973e-02
6.6499999999999844e+00 4.7109724566446520e-01 2.6293475512808386e-02
6.6999999999999842e+00 5.0462104795635387e-01 2.7010973047874604e-02
6.7499999999999840e+00 5.3355900246850418e-01 2.7254364571256733e-02
6.7999999999999838e+00 5.5736718602134716e-01 2.7464551915375411e-02
6.8499999999999837e+00 5.7569315724675219e-01 2.7871322037826347e-02
6.8999999999999835e+00 5.8821807015273431e-01 2.8357906296240600e-02
6.9499999999999833e+00 5.9473684885237943e-01 2.8813443220906999e-02
