residue,iterations
1.54355e-09,66
9.94719e-13,77
1.19898e-12,73
1.52652e-12,76
1.23119e-12,77
1.28594e-12,77
1.28734e-12,77
1.95064e-12,76
2.15086e-12,76
1.53584e-12,77
1.67737e-12,77
1.79389e-12,77
3.06644e-12,76
3.11972e-12,76
3.11757e-12,76
3.09577e-12,76
3.33347e-12,76
3.47582e-12,76
3.49385e-12,76
3.3992e-12,76
3.45129e-12,76
3.52675e-12,76
3.43267e-12,76
3.44338e-12,76
3.36848e-12,76
3.2977e-12,76
3.2324e-12,76
3.14363e-12,76
3.08888e-12,76
3.87407e-12,74
2.99259e-12,76
3.06408e-12,76
3.03315e-12,76
2.96693e-12,76
2.95167e-12,76
2.92853e-12,76
2.94637e-12,76
2.81183e-12,76
2.77449e-12,76
1.86451e-12,77
1.867e-12,77
1.92114e-12,77
1.95973e-12,77
1.93508e-12,77
1.87151e-12,77
1.8303e-12,77
1.70034e-12,77
1.08786e-12,78
1.53331e-12,77
1.41366e-12,76
1.18159e-12,76
1.04331e-12,77
1.07176e-12,77
1.21032e-12,77
1.49795e-12,77
1.30353e-12,77
1.3589e-12,76
1.5353e-12,77
1.86447e-12,77
1.99479e-12,77
1.9769e-12,77
1.95572e-12,77
1.90831e-12,77
1.77775e-12,77
2.41468e-12,76
2.34074e-12,76
2.3156e-12,76
2.49797e-12,76
2.67991e-12,76
1.85527e-12,77
1.94636e-12,77
1.93761e-12,77
1.98178e-12,77
1.87201e-12,77
2.77671e-12,76
2.44454e-12,76
2.54683e-12,75
2.65308e-12,74
1.84671e-12,75
2.2407e-12,75
1.89335e-12,76
1.99754e-12,76
2.10081e-12,76
2.12065e-12,76
1.98791e-12,76
1.89393e-12,76
1.77416e-12,76
1.63169e-12,76
1.6029e-12,76
1.60587e-12,76
1.5841e-12,76
1.30303e-12,76
1.30772e-12,75
1.16596e-12,76
1.11569e-12,77
1.12476e-12,77
1.30979e-12,76
1.0891e-12,77
1.24899e-12,77
1.38821e-12,77
1.47475e-12,77
1.49257e-12,77
1.52329e-12,77
1.54721e-12,77
1.59068e-12,77
1.59688e-12,77
1.55741e-12,77
1.54339e-12,77
1.62982e-12,77
1.63151e-12,77
1.6363e-12,77
1.64138e-12,77
1.6304e-12,77
1.61171e-12,77
1.61784e-12,77
1.58964e-12,77
1.53269e-12,77
2.01938e-12,76
1.63991e-12,76
1.58716e-12,76
1.89568e-12,76
2.06464e-12,76
1.52235e-12,77
1.60838e-12,77
1.62272e-12,77
1.58438e-12,77
1.61414e-12,77
1.62138e-12,77
1.63414e-12,77
1.503e-12,77
1.35433e-12,77
1.30905e-12,77
1.44531e-12,73
1.49979e-12,75
1.2765e-12,77
1.33084e-12,77
1.2866e-12,77
1.23033e-12,77
1.17645e-12,77
1.09741e-12,77
9.72732e-13,77
9.56777e-13,77
1.31028e-12,76
1.36422e-12,76
1.01909e-12,77
1.18761e-12,77
1.35199e-12,77
1.46305e-12,77
1.52123e-12,77
1.57782e-12,77
1.62541e-12,77
1.13886e-12,78
1.13595e-12,78
1.69136e-12,77
1.66653e-12,77
1.66192e-12,77
1.63071e-12,77
1.57219e-12,77
1.54025e-12,77
1.5102e-12,77
1.46668e-12,77
1.42236e-12,77
1.26879e-12,77
1.549e-12,76
1.41819e-12,76
1.37442e-12,76
1.54115e-12,76
1.54339e-12,76
1.45025e-12,76
1.56625e-12,75
1.23533e-12,74
1.53422e-12,73
1.25207e-12,77
1.36045e-12,77
1.4282e-12,77
1.42482e-12,77
1.40981e-12,77
1.38517e-12,77
1.37878e-12,77
1.37142e-12,77
1.31485e-12,77
1.29375e-12,77
1.29638e-12,77
1.24227e-12,77
1.05669e-12,77
1.31356e-12,76
1.20301e-12,77
1.43671e-12,77
1.04566e-12,78
1.05186e-12,78
1.049e-12,78
1.07115e-12,78
1.07467e-12,78
1.08029e-12,78
1.07303e-12,78
1.0557e-12,78
1.07396e-12,78
1.07708e-12,78
1.55056e-12,77
1.48495e-12,77
1.37047e-12,77
1.29278e-12,77
1.24001e-12,77
1.57582e-12,76
1.36435e-12,76
1.43943e-12,76
1.48469e-12,76
1.34998e-12,76
1.30546e-12,76
1.25715e-12,76
1.26753e-12,76
1.32315e-12,76
1.36383e-12,76
1.43246e-12,76
1.36615e-12,76
1.42783e-12,76
1.25604e-12,76
1.2832e-12,76
1.45011e-12,74
1.19737e-12,74
1.15501e-12,75
1.14193e-12,74
1.35627e-12,74
1.21418e-12,75
1.11915e-12,77
1.15599e-12,77
1.41779e-12,76
1.15695e-12,77
1.07264e-12,77
1.37458e-12,76
1.05298e-12,77
1.15239e-12,77
1.18275e-12,77
1.1694e-12,77
1.15384e-12,77
1.117e-12,77
1.48146e-12,76
1.46056e-12,75
1.4266e-12,75
1.25397e-12,76
1.24979e-12,75
1.38307e-12,73
1.42738e-12,72
1.49055e-12,73
1.41985e-12,73
1.2394e-12,73
1.29786e-12,75
1.22985e-12,76
1.23301e-12,77
1.1875e-12,77
1.211e-12,77
1.17713e-12,77
1.37859e-12,77
1.50107e-12,77
1.15479e-12,78
1.50547e-12,77
