time, Ex_field_energy, Ex_max_norm
0.0000000000000000e+00 9.8225659387822013e+00 1.0570953468926721e-01
5.0000000000000003e-02 9.7897410587104847e+00 1.0566192792093115e-01
1.0000000000000001e-01 9.6963508287024798e+00 1.0540879305350291e-01
1.5000000000000002e-01 9.5439397546887790e+00 1.0441877882212741e-01
2.0000000000000001e-01 9.3344545896478479e+00 1.0283863356170705e-01
2.5000000000000000e-01 9.0708487109818474e+00 1.0133063512767428e-01
2.9999999999999999e-01 8.7565459438421662e+00 9.9619413295535059e-02
3.4999999999999998e-01 8.3957903354225802e+00 9.7312093486581389e-02
3.9999999999999997e-01 7.9934337865089615e+00 9.4776405068850073e-02
4.4999999999999996e-01 7.5547357613510107e+00 9.1836685200020002e-02
4.9999999999999994e-01 7.0855263561831388e+00 8.8631952707920639e-02
5.4999999999999993e-01 6.5919781901694749e+00 8.5930896904033882e-02
5.9999999999999998e-01 6.0804791008959826e+00 8.2816213784605047e-02
6.5000000000000002e-01 5.5575221439190674e+00 7.9170968608132955e-02
7.0000000000000007e-01 5.0294368366875490e+00 7.5208985687049729e-02
7.5000000000000011e-01 4.5028103731699973e+00 7.1213556013471541e-02
8.0000000000000016e-01 3.9839736365936305e+00 6.6876104184141458e-02
8.5000000000000020e-01 3.4789879798125081e+00 6.2580083511752566e-02
9.0000000000000024e-01 2.9935341428437319e+00 5.8273596540049044e-02
9.5000000000000029e-01 2.5328388632055239e+00 5.3802453182671794e-02
1.0000000000000002e+00 2.1016661119636915e+00 4.9493618423025423e-02
1.0500000000000003e+00 1.7041942099469358e+00 4.4878953978295305e-02
1.1000000000000003e+00 1.3439733670252922e+00 4.0334119512864107e-02
1.1500000000000004e+00 1.0238712340711529e+00 3.6155399882676693e-02
1.2000000000000004e+00 7.4622791817971368e-01 3.1848835831782253e-02
1.2500000000000004e+00 5.1245299325703231e-01 2.7444861951592282e-02
1.3000000000000005e+00 3.2329599463698266e-01 2.2775917018712625e-02
1.3500000000000005e+00 1.7880714159489941e-01 1.7947078956024806e-02
1.4000000000000006e+00 7.8331144363131378e-02 1.3179446990790275e-02
1.4500000000000006e+00 2.0533945739154850e-02 8.7047264209833518e-03
1.5000000000000007e+00 3.4966001852221040e-03 5.3481000814752386e-03
1.5500000000000007e+00 2.4675702716845074e-02 9.4870158311150168e-03
1.6000000000000008e+00 8.1029371398444253e-02 1.3457250197767194e-02
1.6500000000000008e+00 1.6906506621572112e-01 1.7417433860771735e-02
1.7000000000000008e+00 2.8489937628517870e-01 2.1630130230735744e-02
1.7500000000000009e+00 4.2431121824089280e-01 2.5207660291492618e-02
1.8000000000000009e+00 5.8289426129473187e-01 2.8381927240307563e-02
1.8500000000000010e+00 7.5613172882351942e-01 3.1710424018622403e-02
1.9000000000000010e+00 9.3938954753971371e-01 3.5073932392340933e-02
1.9500000000000011e+00 1.1280160170499403e+00 3.7954370545792135e-02
2.0000000000000009e+00 1.3175946465863577e+00 4.0315746742689652e-02
2.0500000000000007e+00 1.5037819983282039e+00 4.2343559888724770e-02
2.1000000000000005e+00 1.6825280504942235e+00 4.4570558723557994e-02
2.1500000000000004e+00 1.8500499332220932e+00 4.6727754162253284e-02
2.2000000000000002e+00 2.0030169674287306e+00 4.8618847411585557e-02
