residue,iterations
8.43746e-10,72
1.17635e-12,85
1.12378e-12,83
1.43853e-12,82
1.51813e-12,82
1.59709e-12,84
1.70209e-12,85
1.68695e-12,86
1.84226e-12,86
2.03543e-12,86
2.04007e-12,86
2.19706e-12,86
2.25612e-12,86
2.28613e-12,86
2.52205e-12,85
3.05349e-12,84
2.967e-12,85
2.77001e-12,85
3.06524e-12,84
3.63312e-12,83
3.14372e-12,84
3.68119e-12,84
3.21918e-12,85
3.20683e-12,85
3.25989e-12,85
3.03498e-12,85
3.80881e-12,84
3.87755e-12,84
3.28306e-12,84
2.78839e-12,84
3.25342e-12,84
3.40273e-12,84
3.18739e-12,84
3.16601e-12,84
3.12745e-12,84
2.91755e-12,84
2.39324e-12,85
2.43855e-12,85
2.42963e-12,85
2.40069e-12,85
2.09497e-12,86
2.00539e-12,86
1.79595e-12,86
1.58448e-12,87
1.41906e-12,87
1.59595e-12,86
1.61748e-12,85
1.33431e-12,85
1.26813e-12,84
1.38409e-12,82
1.31014e-12,83
1.29838e-12,84
1.32382e-12,85
1.30519e-12,85
1.19725e-12,86
1.11816e-12,86
1.55486e-12,85
1.31988e-12,86
1.54546e-12,86
1.60739e-12,86
1.72639e-12,86
1.76401e-12,86
1.75946e-12,86
1.79914e-12,86
1.96167e-12,86
2.00606e-12,86
1.98047e-12,86
2.05222e-12,86
2.01425e-12,86
2.38193e-12,85
2.34786e-12,85
2.18162e-12,85
2.11898e-12,85
2.01402e-12,85
1.86756e-12,85
2.34793e-12,84
2.22278e-12,84
1.83324e-12,84
2.06841e-12,84
1.92384e-12,84
1.88479e-12,85
1.9207e-12,85
1.92854e-12,85
1.54313e-12,86
1.48976e-12,86
1.48352e-12,86
1.421e-12,86
1.34817e-12,86
1.39866e-12,85
1.55344e-12,83
1.36114e-12,83
1.47514e-12,81
1.13285e-12,81
1.17764e-12,85
1.0745e-12,86
1.11024e-12,86
1.12406e-12,86
1.3914e-12,85
1.15648e-12,86
1.29213e-12,86
1.40753e-12,86
1.40456e-12,86
1.40186e-12,86
1.47504e-12,86
1.23154e-12,87
1.65158e-12,86
1.66522e-12,86
1.69741e-12,86
1.63675e-12,86
1.6953e-12,86
1.67922e-12,86
1.56474e-12,86
1.69435e-12,86
1.55539e-12,86
1.52647e-12,86
1.48876e-12,86
1.5146e-12,86
1.44945e-12,86
1.40065e-12,86
1.38854e-12,86
1.42046e-12,86
1.46133e-12,86
1.42651e-12,86
1.43969e-12,86
1.42418e-12,86
1.70479e-12,84
1.6608e-12,83
1.64341e-12,82
1.5528e-12,82
1.38352e-12,82
1.35135e-12,83
1.31181e-12,83
1.42588e-12,85
1.47318e-12,85
1.36174e-12,86
1.39193e-12,86
1.34739e-12,86
1.20838e-12,86
1.27838e-12,86
1.24888e-12,86
1.22069e-12,85
1.41884e-12,85
1.0828e-12,86
1.06919e-12,86
