time, Ex_field_energy, Ex_max_norm
0.0000000000000000e+00 9.8225659361318307e+00 1.0570953465548603e-01
5.0000000000000003e-02 9.7897410587138900e+00 1.0566192792104290e-01
1.0000000000000001e-01 9.6963508287094093e+00 1.0540879305373481e-01
1.5000000000000002e-01 9.5439397546990499e+00 1.0441877882245862e-01
2.0000000000000001e-01 9.3344545896611812e+00 1.0283863356210131e-01
2.5000000000000000e-01 9.0708487109982059e+00 1.0133063512806972e-01
2.9999999999999999e-01 8.7565459438609192e+00 9.9619413296017659e-02
3.4999999999999998e-01 8.3957903354438255e+00 9.7312093486907114e-02
3.9999999999999997e-01 7.9934337865323792e+00 9.4776405069116179e-02
4.4999999999999996e-01 7.5547357613757242e+00 9.1836685200319262e-02
4.9999999999999994e-01 7.0855263562093240e+00 8.8631952708752279e-02
5.4999999999999993e-01 6.5919781901967927e+00 8.5930896904136828e-02
5.9999999999999998e-01 6.0804791009240704e+00 8.2816213784734513e-02
6.5000000000000002e-01 5.5575221439470228e+00 7.9170968608384740e-02
7.0000000000000007e-01 5.0294368367156208e+00 7.5208985687797505e-02
7.5000000000000011e-01 4.5028103731978284e+00 7.1213556014279644e-02
8.0000000000000016e-01 3.9839736366209322e+00 6.6876104184630414e-02
8.5000000000000020e-01 3.4789879798389483e+00 6.2580083512294743e-02
9.0000000000000024e-01 2.9935341428689282e+00 5.8273596538987664e-02
9.5000000000000029e-01 2.5328388632294492e+00 5.3802453181552343e-02
1.0000000000000002e+00 2.1016661119862055e+00 4.9493618422934413e-02
1.0500000000000003e+00 1.7041942099677845e+00 4.4878953978215480e-02
1.1000000000000003e+00 1.3439733670442577e+00 4.0334119512498899e-02
1.1500000000000004e+00 1.0238712340879670e+00 3.6155399882274765e-02
1.2000000000000004e+00 7.4622791819410594e-01 3.1848835831379083e-02
1.2500000000000004e+00 5.1245299326942384e-01 2.7444861951187931e-02
1.3000000000000005e+00 3.2329599464675285e-01 2.2775917018342959e-02
1.3500000000000005e+00 1.7880714160200065e-01 1.7947078955671613e-02
1.4000000000000006e+00 7.8331144367541392e-02 1.3179446990720524e-02
1.4500000000000006e+00 2.0533945740945695e-02 8.7047264211286730e-03
1.5000000000000007e+00 3.4966001845338850e-03 5.3481000808138996e-03
1.5500000000000007e+00 2.4675702713879397e-02 9.4870158304163343e-03
1.6000000000000008e+00 8.1029371393619376e-02 1.3457250197062202e-02
1.6500000000000008e+00 1.6906506620921960e-01 1.7417433860125932e-02
1.7000000000000008e+00 2.8489937627734319e-01 2.1630130230183911e-02
1.7500000000000009e+00 4.2431121823191786e-01 2.5207660290978651e-02
1.8000000000000009e+00 5.8289426128523036e-01 2.8381927239853152e-02
1.8500000000000010e+00 7.5613172881363289e-01 3.1710424018172423e-02
1.9000000000000010e+00 9.3938954752954940e-01 3.5073932391956136e-02
1.9500000000000011e+00 1.1280160170396809e+00 3.7954370545517882e-02
2.0000000000000009e+00 1.3175946465762403e+00 4.0315746742459732e-02
2.0500000000000007e+00 1.5037819983185101e+00 4.2343559888541313e-02
2.1000000000000005e+00 1.6825280504851794e+00 4.4570558723412632e-02
2.1500000000000004e+00 1.8500499332137879e+00 4.6727754162196974e-02
2.2000000000000002e+00 2.0030169674214244e+00 4.8618847411530129e-02
2.2500000000000000e+00 2.1384243856394685e+00 5.0242274382675936e-02
2.2999999999999998e+00 2.2538196429095865e+00 5.1618638460738976e-02
2.3499999999999996e+00 2.3472193402064074e+00 5.2487050610753531e-02
2.3999999999999995e+00 2.4171289771564215e+00 5.3132223925149213e-02
2.4499999999999993e+00 2.4624920782536650e+00 5.3455348187589756e-02
2.4999999999999991e+00 2.4828064122611182e+00 5.3883426472187579e-02
2.5499999999999989e+00 2.4781219733607451e+00 5.3981458682360067e-02
2.5999999999999988e+00 2.4490192730860780e+00 5.4049766777400726e-02
2.6499999999999986e+00 2.3965165086697260e+00 5.3564695253354291e-02
2.6999999999999984e+00 2.3219480970461923e+00 5.2535680835335441e-02
2.7499999999999982e+00 2.2271453359762257e+00 5.1362501584271712e-02
2.7999999999999980e+00 2.1142637638844324e+00 5.0220853830484233e-02
2.8499999999999979e+00 1.9857849166849160e+00 4.8935264410268568e-02
2.8999999999999977e+00 1.8443348465485800e+00 4.7336380440480212e-02
2.9499999999999975e+00 1.6927591080354989e+00 4.5435745477935746e-02
2.9999999999999973e+00 1.5340111404767898e+00 4.3519951403814566e-02
3.0499999999999972e+00 1.3711222678468453e+00 4.1451091448815661e-02
3.0999999999999970e+00 1.2070459299998531e+00 3.9272791758477581e-02
3.1499999999999968e+00 1.0446937750945910e+00 3.6896871759162224e-02
3.1999999999999966e+00 8.8687001284550204e-01 3.4098748360520605e-02
3.2499999999999964e+00 7.3624519786124609e-01 3.1272353436848699e-02
3.2999999999999963e+00 5.9520363902736850e-01 2.8258923577614031e-02
3.3499999999999961e+00 4.6585544423758313e-01 2.5525965035781903e-02
3.3999999999999959e+00 3.5011999199876020e-01 2.2564598228374221e-02
3.4499999999999957e+00 2.4951696034047402e-01 1.9357030210388197e-02
3.4999999999999956e+00 1.6527248117259491e-01 1.6227028403412166e-02
3.5499999999999954e+00 9.8217479458168708e-02 1.3173084319248525e-02
3.5999999999999952e+00 4.8841845397239618e-02 1.0303780251400375e-02
3.6499999999999950e+00 1.7264236391085454e-02 7.4651594365704775e-03
3.6999999999999948e+00 3.2729483089402418e-03 4.9566455281884799e-03
3.7499999999999947e+00 6.3188928764946854e-03 6.5459916416511811e-03
3.7999999999999945e+00 2.5532393304196176e-02 9.2677891321022391e-03
3.8499999999999943e+00 5.9778392027476972e-02 1.1950075678061488e-02
3.8999999999999941e+00 1.0764609427755524e-01 1.4605533334532484e-02
3.9499999999999940e+00 1.6751661485939026e-01 1.6863932844455479e-02
3.9999999999999938e+00 2.3760158078841503e-01 1.9268110393605351e-02
4.0499999999999936e+00 3.1593527078196981e-01 2.2009968596693796e-02
4.0999999999999934e+00 4.0046067065939472e-01 2.4507154481371158e-02
4.1499999999999932e+00 4.8910905370287860e-01 2.6589133727942454e-02
4.1999999999999931e+00 5.7976109234779927e-01 2.8245578402984590e-02
4.2499999999999929e+00 6.7030748115877870e-01 2.9821831380457575e-02
4.2999999999999927e+00 7.5875875652551661e-01 3.1290527122645476e-02
