residue,iterations
9.14249e-08,57
7.72669e-12,71
9.2308e-12,71
1.10284e-11,71
1.89837e-11,70
2.12566e-11,70
3.52903e-11,69
3.87454e-11,69
4.18287e-11,69
6.84264e-11,68
7.34353e-11,68
7.71154e-11,68
8.2264e-11,68
1.2471e-10,67
1.29673e-10,67
1.35269e-10,67
1.37196e-10,67
1.38511e-10,67
1.42175e-10,67
1.41956e-10,67
1.99275e-10,66
1.9142e-10,66
1.83527e-10,66
1.7423e-10,66
1.68116e-10,66
2.26277e-10,65
2.17281e-10,65
2.0923e-10,65
2.03302e-10,65
1.98899e-10,65
1.96896e-10,65
1.94473e-10,65
1.3649e-10,66
1.37581e-10,66
1.42139e-10,66
1.41014e-10,66
1.01803e-10,67
1.06283e-10,67
1.035e-10,67
6.9236e-11,68
6.48018e-11,68
6.09203e-11,68
5.896e-11,68
3.78536e-11,69
3.46973e-11,69
3.24862e-11,69
2.03188e-11,70
1.78097e-11,70
1.08607e-11,71
9.38641e-12,71
7.9926e-12,71
9.27488e-12,70
7.80643e-12,71
8.90244e-12,71
1.12775e-11,70
1.49662e-11,69
1.70739e-11,69
2.75393e-11,68
3.05989e-11,68
3.21596e-11,68
4.91955e-11,67
5.17728e-11,67
5.39763e-11,67
5.79231e-11,67
6.34858e-11,67
6.37307e-11,67
6.27341e-11,67
6.33874e-11,67
9.38483e-11,66
9.55585e-11,66
9.54977e-11,66
9.51714e-11,66
9.77694e-11,66
6.8574e-11,67
9.55753e-11,66
9.46302e-11,66
6.38597e-11,67
6.26234e-11,67
6.03044e-11,67
5.93069e-11,67
6.0173e-11,67
5.79725e-11,67
5.6153e-11,67
5.17985e-11,67
4.78158e-11,67
3.15902e-11,68
3.01512e-11,68
2.7141e-11,68
2.52079e-11,68
1.63521e-11,69
1.4884e-11,69
1.3611e-11,69
1.00621e-11,70
1.16139e-11,70
8.08548e-12,71
1.00532e-11,70
7.13178e-12,71
8.15463e-12,71
9.08079e-12,71
9.94278e-12,71
1.08093e-11,71
1.66689e-11,70
1.72e-11,70
1.75605e-11,70
2.34739e-11,69
2.34581e-11,69
2.46478e-11,69
3.20858e-11,68
3.24396e-11,68
3.2732e-11,68
3.5731e-11,68
3.9536e-11,68
4.0173e-11,68
4.06069e-11,68
3.82844e-11,68
5.11666e-11,67
5.10164e-11,67
5.1721e-11,67
3.80692e-11,68
3.91187e-11,68
3.97115e-11,68
3.98858e-11,68
3.72565e-11,68
3.89016e-11,68
3.82202e-11,68
3.78806e-11,68
3.54814e-11,68
3.34549e-11,68
3.03131e-11,68
2.14668e-11,69
2.18719e-11,69
2.0208e-11,69
1.73758e-11,69
1.59304e-11,69
1.51966e-11,69
1.09319e-11,70
9.95171e-12,70
1.01323e-11,70
9.88598e-12,69
8.12882e-12,69
9.23469e-12,69
8.29935e-12,69
7.48706e-12,70
8.04477e-12,70
1.08594e-11,69
1.21836e-11,69
1.35734e-11,69
1.33226e-11,69
1.45226e-11,69
1.7582e-11,69
1.46496e-11,70
2.16694e-11,69
2.07474e-11,69
1.9622e-11,69
1.98463e-11,69
1.98738e-11,69
2.72767e-11,68
2.66156e-11,68
2.67016e-11,68
2.76009e-11,68
2.82913e-11,68
2.91313e-11,68
2.78387e-11,68
2.88939e-11,68
2.37848e-11,69
2.43102e-11,69
2.51466e-11,69
2.14867e-11,69
2.5468e-11,68
2.43008e-11,68
1.79559e-11,69
1.84641e-11,69
1.95041e-11,69
1.80928e-11,69
1.39421e-11,69
1.22987e-11,70
1.14709e-11,70
1.33913e-11,69
9.88444e-12,70
1.16444e-11,69
8.02215e-12,70
8.56911e-12,70
7.21657e-12,70
8.40294e-12,69
8.00524e-12,69
9.69265e-12,69
7.0276e-12,71
7.58754e-12,71
7.85575e-12,71
8.42431e-12,71
9.03848e-12,71
9.38512e-12,71
1.29472e-11,70
1.10225e-11,70
1.31254e-11,69
1.29345e-11,69
1.396e-11,69
1.45545e-11,69
1.3688e-11,69
1.46698e-11,69
1.46869e-11,69
1.47944e-11,69
1.50459e-11,69
1.59826e-11,69
1.7904e-11,69
1.62355e-11,69
1.54409e-11,69
1.62724e-11,69
1.76419e-11,69
1.77673e-11,69
1.63463e-11,69
1.48933e-11,69
1.51272e-11,69
1.39192e-11,69
1.45008e-11,69
1.1774e-11,70
1.33077e-11,70
1.12919e-11,70
1.23285e-11,70
1.17561e-11,70
1.05378e-11,70
1.05907e-11,70
1.13182e-11,70
8.19076e-12,71
7.93357e-12,71
8.66149e-12,70
1.00413e-11,69
9.62524e-12,69
8.87799e-12,70
7.87507e-12,70
8.64745e-12,69
8.27208e-12,69
9.18758e-12,69
7.57135e-12,70
9.86431e-12,69
1.07706e-11,69
8.74083e-12,70
1.04546e-11,70
9.20084e-12,70
1.12571e-11,70
8.95374e-12,70
1.20876e-11,69
1.30425e-11,69
1.26338e-11,69
1.05708e-11,70
1.41818e-11,69
1.06473e-11,70
1.14167e-11,70
1.26227e-11,70
1.26162e-11,70
1.45148e-11,69
1.2742e-11,69
1.43353e-11,69
1.15883e-11,70
1.0975e-11,70
1.01698e-11,70
1.16584e-11,70
1.20811e-11,70
1.22271e-11,70
1.24135e-11,70
9.93378e-12,70
1.15963e-11,69
9.49625e-12,70
1.05154e-11,69
8.5642e-12,70
9.61968e-12,70
1.00556e-11,69
1.03407e-11,69
9.60642e-12,70
9.01955e-12,70
8.5719e-12,70
7.01278e-12,70
8.74857e-12,69
7.38146e-12,69
7.76983e-12,70
7.70027e-12,70
7.41444e-12,69
7.90692e-12,70
8.74563e-12,70
1.02357e-11,70
7.58871e-12,71
7.70833e-12,71
7.9206e-12,71
8.009e-12,71
8.40574e-12,71
8.31781e-12,71
8.2067e-12,71
1.12412e-11,70
1.08332e-11,69
1.07527e-11,69
1.12241e-11,69
8.60705e-12,70
1.10623e-11,70
1.09967e-11,70
1.18724e-11,70
1.13933e-11,70
1.02742e-11,70
1.07476e-11,70
1.03469e-11,70
1.06091e-11,69
1.08497e-11,69
1.05767e-11,69
8.9618e-12,70
8.86067e-12,71
9.0897e-12,71
8.99723e-12,71
8.7681e-12,71
8.49238e-12,71
8.26064e-12,71
