                  num Nodes  Wall tot
=====================================
total...............      8     34.93

                  num Nodes  Wall max  Wall min  Wall avg
=========================================================
total...............      8     34.93      34.9     34.91
findInternal........      8 1.892e-05 1.688e-05 1.788e-05
findPeriodic........      8 2.847e-05 2.251e-05 2.431e-05
Read Data...........      8    0.3494     0.336    0.3437
particleBC..........      8    0.0311   0.02351   0.02657
updateParticle......      8     12.34     11.41      11.6
locateParticles.....      8   0.05146   0.03989   0.04489
sendPreprocess......      8     11.16     10.03     10.28
particleSend........      8    0.7698    0.3396    0.6585
particleDestroy.....      8    0.2284    0.1651     0.203
particleRecv........      8    0.6253    0.2188     0.413
solveWarmup.........      8    0.1136   0.09866    0.1053
scatter.............      8    0.3975    0.1908    0.2633
accumulateHalo......      8     1.953     1.607     1.804
solve...............      8     12.38     12.22      12.3
fillHalo............      8     1.919     1.799     1.838
gather..............      8   0.06876   0.05661   0.06296
dumpData............      8     1.543     1.147     1.396
pushVelocity........      8    0.9014   0.07128    0.7653
pushPosition........      8   0.01046  0.009325   0.00976
update..............      8      13.2     12.04     12.28
loadBalance.........      8         0         0         0
