                  num Nodes  Wall tot
=====================================
total...............      4     242.9

                  num Nodes  Wall max  Wall min  Wall avg
=========================================================
total...............      4     242.9     242.9     242.9
findInternal........      4 2.746e-05 1.845e-05 2.139e-05
findPeriodic........      4 3.965e-05 2.722e-05 3.243e-05
readData............      4     133.3     133.3     133.3
particleBC..........      4     2.078     1.665     1.823
updateParticle......      4     58.16     16.12     29.62
locateParticles.....      4     12.24      9.17     10.32
sendPreprocess......      4     4.646    0.7682     3.186
particleSend........      4     13.32     1.435     4.465
particleDestroy.....      4    0.6481    0.5651     0.598
particleRecv........      4     43.06      0.35     11.04
solveWarmup.........      4    0.8992    0.7923    0.8562
scatter.............      4     3.841     2.894     3.275
accumulateHalo......      4     1.903    0.9823     1.488
solve...............      4     29.94     29.51     29.73
fillHalo............      4     1.352     1.069       1.2
gather..............      4      2.61     2.235     2.338
dumpData............      4     2.217     1.616      2.05
pushVelocity........      4     2.022     1.624     1.778
pushPosition........      4     1.014    0.8174    0.8939
update..............      4     61.19     60.54     60.98
loadBalance.........      4         0         0         0
