                  num Nodes  Wall tot
=====================================
total...............      8     237.8

                  num Nodes  Wall max  Wall min  Wall avg
=========================================================
total...............      8     237.8     237.7     237.8
findInternal........      8 4.938e-05 3.754e-05 4.193e-05
findPeriodic........      8 6.281e-05 4.777e-05 5.457e-05
readData............      8     147.5     147.5     147.5
particleBC..........      8     1.056    0.7978    0.9138
updateParticle......      8     48.41     16.91     31.81
locateParticles.....      8     11.25     8.741      10.1
sendPreprocess......      8     4.294     1.279     2.706
particleSend........      8     21.07      1.27     6.205
particleDestroy.....      8    0.3536    0.3112    0.3308
particleRecv........      8     34.25    0.7927     12.46
solveWarmup.........      8    0.7163    0.6263    0.6808
scatter.............      8     1.741     1.211     1.467
accumulateHalo......      8     1.496     1.033     1.252
solve...............      8     18.68     18.35     18.51
fillHalo............      8     1.355     1.198     1.269
gather..............      8    0.7943    0.6507    0.7099
dumpData............      8     1.223    0.9576      1.12
pushVelocity........      8     1.028    0.7754    0.8896
pushPosition........      8    0.5172    0.3928    0.4493
update..............      8     60.95     60.34     60.65
loadBalance.........      8         0         0         0
