                  num Nodes  Wall tot
=====================================
total...............      4     883.5

                  num Nodes  Wall max  Wall min  Wall avg
=========================================================
total...............      4     883.5     883.5     883.5
findInternal........      4 1.567e-05  1.45e-05 1.515e-05
findPeriodic........      4 2.446e-05 1.981e-05 2.245e-05
Read Data...........      4     16.82     16.82     16.82
particleBC..........      4     3.063     2.354     2.644
updateParticle......      4     75.15     26.16     43.08
locateParticles.....      4      4.55     3.952     4.268
sendPreprocess......      4     18.57     16.89     17.76
particleSend........      4     20.83     1.407     6.731
particleDestroy.....      4    0.5322    0.5151    0.5243
particleRecv........      4     51.45    0.6393     13.79
solveWarmup.........      4     1.694     1.679     1.688
scatter.............      4     17.28      12.8     14.42
accumulateHalo......      4     8.708     4.838     7.425
solve...............      4     727.9     724.8     726.2
fillHalo............      4     8.059     4.201      6.88
gather..............      4     12.58     10.71     11.42
dumpData............      4     4.077     2.277     3.148
pushVelocity........      4     5.452      4.44     4.884
pushPosition........      4     1.762     1.448     1.573
update..............      4     78.84     77.65     78.13
loadBalance.........      4         0         0         0
