                  num Nodes  Wall tot
=====================================
total...............      2     48.82

                  num Nodes  Wall max  Wall min  Wall avg
=========================================================
total...............      2     48.82     48.82     48.82
findInternal........      2 1.785e-05 1.021e-05 1.403e-05
findPeriodic........      2 2.738e-05 2.037e-05 2.388e-05
readData............      2     24.33     24.33     24.33
particleBC..........      2    0.4799     0.438     0.459
updateParticle......      2     8.678     3.118     5.898
locateParticles.....      2     2.278     2.123       2.2
sendPreprocess......      2    0.4308    0.1888    0.3098
particleSend........      2    0.2761    0.2603    0.2682
particleDestroy.....      2    0.2249    0.2043    0.2146
particleRecv........      2     5.702   0.09036     2.896
solveWarmup.........      2    0.2511    0.2129     0.232
scatter.............      2    0.8151    0.6861    0.7506
accumulateHalo......      2    0.8454    0.7237    0.7845
solve...............      2     9.549     9.388     9.469
fillHalo............      2    0.9225    0.7889    0.8557
gather..............      2    0.4195    0.3834    0.4014
dumpData............      2    0.4904    0.4605    0.4755
pushVelocity........      2    0.4655    0.4231    0.4443
pushPosition........      2     0.238    0.2171    0.2276
update..............      2     9.544     9.533     9.538
loadBalance.........      2         0         0         0
