 num_nodes             cell_spacing        interp_error_coef              recon_error           solver_residue        num_it
        16       0.1333333333333333     0.008823939719059667     0.006033084855746852    5.745239160828435e-14              7
        22      0.09523809523809523     0.004501679421407919     0.003081449333091974    2.486031207210144e-14             12
        31      0.06666666666666667      0.00220573687712624     0.001539693670047731    4.736725810974242e-14             19
        43      0.04761904761904762     0.001125355303717457    0.0007810003501295085    2.089493856430019e-14             29
        60      0.03389830508474576    0.0005702694735518117     0.000397644894819975    5.822494961358065e-15             43
        84      0.02409638554216868    0.0002881548154383623    0.0002043195823632805    1.674250023598996e-14             62
       118       0.0170940170940171    0.0001450137847940245    0.0001008111272457823    5.630298593049914e-15             90
       166      0.01212121212121212    7.291427936604867e-05    5.046273216632199e-05    9.330133949758131e-15            185
       234     0.008583690987124463    3.656523325131019e-05     2.52221057620471e-05    3.381759404796276e-15            178
       330       0.0060790273556231    1.833954224060943e-05    1.248206590752804e-05     4.40959138041252e-15            483
       466     0.004301075268817204    9.180674266622694e-06    6.502981806637468e-06    3.261832954109589e-15           1113
       659      0.00303951367781155    4.584878163218216e-06    3.165966152460955e-06    2.310382229039044e-15           2220
       931     0.002150537634408602    2.295146941195105e-06      1.5884027792395e-06    1.626713129333261e-15           3600
