 num_nodes             cell_spacing        interp_error_coef              recon_error           solver_residue        num_it
        16       0.1333333333333333       0.1167789263889172      0.09905393451180493    1.928520422026324e-13              5
        22      0.09523809523809523      0.06013408978003864      0.05033508025494975    1.362173268514994e-13              8
        31      0.06666666666666667      0.02961058536698228      0.02529580500715218     6.83365188351484e-14             15
        43      0.04761904761904762      0.01514234098660519      0.01271951025594602    5.157107592541502e-14             22
        60      0.03389830508474576     0.007682496590421811     0.006198384558572188    3.157179260347485e-14             35
        84      0.02409638554216868      0.00388429168476538     0.003316828547168652    1.889391453056868e-14             54
       118       0.0170940170940171     0.001955370388312652     0.001581900918948083    1.125694744048472e-14             93
       166      0.01212121212121212    0.0009833309928405003    0.0007992113549877274      5.3263021902525e-15            233
       234     0.008583690987124463    0.0004931618569478784    0.0004259153456994814    3.023867934653751e-15            343
       330       0.0060790273556231    0.0002473582625837324    0.0002006129373354679     2.39935547296957e-15            994
       466     0.004301075268817204    0.0001238285511759149    0.0001029706269581677    1.429424727663617e-15           2321
       659      0.00303951367781155    6.184139519982705e-05    5.399793124551295e-05    8.315887765706608e-16           3883
       931     0.002150537634408602    3.095767834143028e-05    2.490040403022231e-05    5.057423779587541e-16           6185
