x,y,vx,vy
1.39836,2.06405,0.199855,-0.949374
1.67229,2.56067,0.981849,-0.856975
1.7462,1.10016,-0.309463,-0.715451
1.21629,1.36465,-0.910844,-0.62832
1.34614,1.51832,-0.998284,-0.885366
1.41724,1.29567,-0.800861,-0.966308
1.65321,1.92544,-0.232088,-0.886301
1.34434,2.17604,0.525256,-0.882746
1.73387,1.01488,-0.046728,-0.741923
1.50481,1.05619,-0.175595,-0.99978
1.84941,1.69758,-0.813421,-0.455588
1.22701,1.20925,-0.610988,-0.6542
1.50143,2.80528,0.574229,-0.999935
1.6371,1.99684,-0.0099179,-0.908583
1.12338,1.0677,-0.211072,-0.377939
1.70263,2.56672,0.97802,-0.80404
1.34212,1.90097,-0.3061,-0.879408
1.30991,2.36544,0.911909,-0.826834
1.95784,1.44203,-0.983361,-0.132045
1.76719,2.80306,0.579932,-0.667857
1.16713,1.03353,-0.105124,-0.501215
1.74957,1.01527,-0.0479441,-0.707992
1.61673,1.00391,-0.0122684,-0.933409
1.56923,1.37028,-0.918019,-0.976335
1.15328,2.44268,0.983776,-0.463086
1.86521,2.8235,0.526439,-0.410874
1.15093,2.4415,0.983078,-0.456556
1.5657,2.06243,0.194866,-0.978707
1.71625,2.90422,0.29636,-0.777883
1.38087,1.03863,-0.121052,-0.930679
1.25103,2.86,0.425738,-0.709363
1.24115,2.1274,0.389613,-0.687102
1.90472,2.3466,0.886012,-0.294845
1.70459,1.85674,-0.434988,-0.800403
1.68893,1.40329,-0.954098,-0.828909
1.87364,1.45209,-0.98859,-0.386573
1.48932,2.59942,0.951561,-0.999329
1.10991,1.38816,-0.938797,-0.338471
1.06572,1.64483,-0.898179,-0.204986
1.02204,1.0474,-0.148368,-0.0691868
1.17276,2.60199,0.949021,-0.516451
1.99414,1.69366,-0.82047,-0.01842
1.19879,2.43548,0.979488,-0.584656
1.98039,2.15766,0.47525,-0.0615618
1.93624,1.17896,-0.53302,-0.198956
1.44932,2.8374,0.488848,-0.987256
1.03314,1.60127,-0.949715,-0.103928
1.51385,2.38167,0.931623,-0.998942
1.41113,1.22262,-0.643668,-0.96117
1.56931,1.16073,-0.483699,-0.976283
1.95784,1.56541,-0.978904,-0.132047
1.45901,1.29619,-0.801842,-0.991608
1.59426,1.90022,-0.30833,-0.956389
1.75074,1.37653,-0.925672,-0.705385
1.60991,2.67542,0.851866,-0.940896
1.02799,1.08527,-0.26467,-0.0878166
1.6604,2.46799,0.99487,-0.875625
1.19628,2.91168,0.273885,-0.578266
1.46221,1.51438,-0.99887,-0.992908
1.90728,2.49755,0.999916,-0.287143
1.46947,1.35664,-0.900182,-0.995332
1.7907,1.47717,-0.997352,-0.61113
1.03975,2.33733,0.872137,-0.124552
1.62238,1.14235,-0.432425,-0.926902
1.39484,2.06383,0.199152,-0.945821
1.12473,1.0232,-0.0728127,-0.381867
1.9164,2.7842,0.62714,-0.259597
1.94807,2.50929,0.999463,-0.162412
1.77989,2.14653,0.444207,-0.637628
1.11244,2.99707,0.00921329,-0.34589
1.52201,1.89824,-0.314239,-0.997499
1.52081,1.09488,-0.293647,-0.997756
1.27883,2.61165,0.939005,-0.768086
1.67428,2.09855,0.304677,-0.853776
1.64012,2.35407,0.896644,-0.90457
1.57396,2.8485,0.458125,-0.973046
1.91192,2.61462,0.935795,-0.273177
1.65767,2.89553,0.322296,-0.879742
1.09844,2.4131,0.962892,-0.304313
1.18537,1.93958,-0.188666,-0.549936
1.43266,2.51185,0.999216,-0.977633
1.33275,2.02122,0.0666008,-0.865019
1.42228,2.95597,0.137873,-0.970266
1.59244,2.54414,0.990335,-0.958022
1.17242,2.9441,0.17471,-0.515558
1.30119,2.41088,0.960994,-0.811126
1.54043,1.42131,-0.969504,-0.991882
1.53034,2.42913,0.975231,-0.995353
1.62821,2.68938,0.82808,-0.919921
1.48651,2.48101,0.998143,-0.999057
1.05353,2.28874,0.787649,-0.167375
1.33083,1.25215,-0.711815,-0.862002
1.67697,1.09789,-0.302679,-0.849308
1.29131,1.9235,-0.238011,-0.792615
1.26081,2.81527,0.548255,-0.730631
1.43795,2.4541,0.989512,-0.980986
1.70949,1.68821,-0.830151,-0.791042
1.70063,1.66984,-0.860902,-0.807772
1.72546,1.67911,-0.845729,-0.759388
1.4752,1.08268,-0.256802,-0.996857
1.95166,2.65418,0.884912,-0.151264
1.60066,2.13997,0.425647,-0.950305
1.91693,2.58023,0.968294,-0.258004
1.25352,2.53762,0.992973,-0.714816
1.28228,1.60837,-0.942497,-0.775031
1.56648,1.45601,-0.990394,-0.978184
1.94906,1.0769,-0.239241,-0.15934
1.25184,2.00283,0.00888517,-0.711132
1.62625,2.59222,0.958287,-0.922306
1.5214,1.00895,-0.0281216,-0.997629
1.25718,2.49375,0.999696,-0.722814
1.11224,1.17641,-0.52621,-0.345304
1.61813,1.98621,-0.0433076,-0.931843
1.58791,1.45117,-0.988148,-0.962059
1.93186,2.37729,0.926512,-0.212428
1.5143,2.36808,0.915243,-0.998881
1.8573,2.18721,0.554756,-0.43339
1.30483,2.33447,0.867738,-0.817782
1.27278,1.9609,-0.122507,-0.755801
1.41697,2.26184,0.732873,-0.9661
1.37663,1.8672,-0.405156,-0.925783
1.79894,1.64374,-0.899717,-0.590433
1.11689,1.001,-0.00313061,-0.358999
1.54674,2.74831,0.710807,-0.989139
1.65384,2.6229,0.926333,-0.885376
1.97934,1.8745,-0.384082,-0.0648642
1.7229,2.66031,0.875745,-0.764609
1.33576,1.97876,-0.0666765,-0.869738
1.02599,1.01297,-0.0407423,-0.081543
1.4286,1.86188,-0.420409,-0.974842
1.52157,1.24192,-0.688874,-0.997593
1.76842,2.43493,0.979127,-0.665004
1.94815,2.74694,0.713811,-0.162151
1.14876,1.53355,-0.994406,-0.450496
1.50813,2.94362,0.176184,-0.999587
1.69495,2.06057,0.189124,-0.818155
1.55995,1.06078,-0.189785,-0.982209
1.71112,1.10835,-0.333816,-0.787917
1.80138,1.43873,-0.981482,-0.584225
1.81414,2.70344,0.802545,-0.551239
1.82026,1.42915,-0.975237,-0.535083
1.68836,1.56247,-0.980707,-0.829888
1.54918,2.42078,0.969117,-0.988048
1.16346,2.07369,0.229412,-0.491206
1.4513,1.29299,-0.79579,-0.988207
1.54938,1.31843,-0.841586,-0.987944
